17/03/21 05:15:11 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/21 05:15:11 INFO client.RMProxy: Connecting to ResourceManager at cluster-1-m/10.138.0.4:8032
17/03/21 05:15:12 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/21 05:15:15 INFO input.FileInputFormat: Total input paths to process : 3035
17/03/21 05:15:16 INFO mapreduce.JobSubmitter: number of splits:3035
17/03/21 05:15:16 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490065343913_0003
17/03/21 05:15:16 INFO impl.YarnClientImpl: Submitted application application_1490065343913_0003
17/03/21 05:15:16 INFO mapreduce.Job: The url to track the job: http://cluster-1-m:8088/proxy/application_1490065343913_0003/
17/03/21 05:15:16 INFO mapreduce.Job: Running job: job_1490065343913_0003
17/03/21 05:15:29 INFO mapreduce.Job: Job job_1490065343913_0003 running in uber mode : false
17/03/21 12:18:10 INFO mapreduce.Job:  map 100% reduce 91%
17/03/21 12:18:11 INFO mapreduce.Job:  map 100% reduce 92%
17/03/21 12:18:17 INFO mapreduce.Job:  map 100% reduce 93%
17/03/21 12:18:20 INFO mapreduce.Job:  map 100% reduce 94%
17/03/21 12:18:22 INFO mapreduce.Job:  map 100% reduce 95%
17/03/21 12:18:25 INFO mapreduce.Job:  map 100% reduce 96%
17/03/21 12:18:26 INFO mapreduce.Job:  map 100% reduce 97%
17/03/21 12:18:39 INFO mapreduce.Job:  map 100% reduce 98%
17/03/21 12:18:54 INFO mapreduce.Job:  map 100% reduce 99%
17/03/21 12:19:03 INFO mapreduce.Job:  map 100% reduce 100%
17/03/21 12:19:14 INFO mapreduce.Job: Job job_1490065343913_0003 completed successfully
17/03/21 12:19:14 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=3233675314
		FILE: Number of bytes written=6848195344
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=238331896
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=488308
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=3
		Launched map tasks=3035
		Launched reduce tasks=15
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=368993868
		Total time spent by all reduces in occupied slots (ms)=218534424
