URL,size,outgoing links,content-type
https://www.nytimes.com/watching/search,333618,25,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/nyregion/bill-de-blasio-state-of-the-city-address.html,77662,105,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/us/politics/trump-conservative-ideology.html,86744,109,text/html; charset=utf-8
https://www.nytimes.com/interactive/2017/02/17/insider/insider-newsletter-poll-8.html,94064,27,text/html; charset=utf-8
https://www.nytimes.com/watching/titles/tv-shows/263328,118376,38,text/html; charset=utf-8
https://www.nytimes.com/2015/02/19/education/were-sorry-applicants-we-accepted-you-in-error.html,67665,94,text/html; charset=utf-8
https://www.nytimes.com/video/us/politics/100000004938795/trumps-testy-response-to-jewish-reporter.html,243262,88,text/html; charset=utf-8
https://www.nytimes.com/2017/02/09/insider/good-bad-and-mad-andrew-rosenthal-on-the-news.html,70553,94,text/html; charset=utf-8
https://www.nytimes.com/2016/04/03/magazine/what-happened-when-venture-capitalists-took-over-the-golden-state-warriors.html,128183,114,text/html; charset=utf-8
https://www.nytimes.com/2016/12/16/us/tulane-college-applicants-acceptance-emails-wrong.html?_r=0,78215,102,text/html; charset=utf-8
https://www.nytimes.com/video/us/politics/100000004901825/fact-check-trumps-immigration-order.html,171157,90,text/html; charset=utf-8
https://www.nytimes.com/watching/titles/tv-shows/25140,120283,40,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/arts/television/golden-girls-cafe-opens-in-washington-heights.html,82423,97,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/opinion/sunday/donald-trump-will-leave-you-numb.html,80785,111,text/html; charset=utf-8
https://www.nytimes.com/2017/01/10/watching/faq.html,135224,28,text/html; charset=utf-8
https://www.nytimes.com/2017/01/17/business/economy/climate-change-california-new-york.html,98582,136,text/html; charset=utf-8
https://www.nytimes.com/section/nyregion,138758,145,text/html; charset=utf-8
https://www.nytimes.com/2017/02/14/insider/what-were-reading.html,76758,114,text/html; charset=utf-8
https://www.nytimes.com/video/arts/music/100000004898957/bad-and-boujee-migos.html,200430,70,text/html; charset=utf-8
https://www.nytimes.com/watching/titles/tv-shows/20073,117627,36,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/opinion/sunday/how-can-we-get-rid-of-trump.html,87122,124,text/html; charset=utf-8
https://www.nytimes.com/video/us/politics/100000004942048/trump-attacks-the-media-at-rally.html?playlistId=100000002797598,198051,80,text/html; charset=utf-8
https://www.nytimes.com/2017/02/13/insider/why-do-americans-refrigerate-their-eggs.html,81066,101,text/html; charset=utf-8
https://www.nytimes.com/2016/03/22/science/nuclear-energy-power-plants-advanced-reactors.html,278723,121,text/html; charset=utf-8
https://www.nytimes.com/2015/02/19/education/were-sorry-applicants-we-accepted-you-in-error.html?_r=0,67665,95,text/html; charset=utf-8
https://www.nytimes.com/2016/06/22/business/californias-diablo-canyon-nuclear-power-plant.html,78066,105,text/html; charset=utf-8
https://www.nytimes.com/2017/02/10/insider/arent-we-off-sugar-now-not-quite-welcome-yotam-ottolenghi.html,69040,101,text/html; charset=utf-8
https://www.nytimes.com/video/opinion/100000004683722/the-forger.html,274183,107,text/html; charset=utf-8
https://www.nytimes.com/watching/titles/tv-shows/29688,117691,36,text/html; charset=utf-8
https://www.nytimes.com/pages/politics/index.html,121580,112,text/html
https://www.nytimes.com/2017/02/18/opinion/the-loneliness-of-the-hockey-scout.html,79367,103,text/html; charset=utf-8
https://www.nytimes.com/content/help/rights/privacy/policy/privacy-policy.html,37444,49,text/html
https://www.nytimes.com/2016/06/01/business/energy-environment/nuclear-plants-despite-safety-concerns-gain-support-as-clean-energy-sources.html,89605,112,text/html; charset=utf-8
https://www.nytimes.com/by/diane-cardwell,117799,124,text/html; charset=utf-8
https://www.nytimes.com/video/world/100000004941630/pence-and-merkel-on-nato-and-russia.html?playlistId=1194811622205,213821,84,text/html; charset=utf-8
https://www.nytimes.com/watching/watchlist,112526,25,text/html; charset=utf-8
https://www.nytimes.com/store/index.php/chicago-cubs-world-series-articles.html,18226,30,text/html; charset=UTF-8
https://www.nytimes.com/2017/02/18/us/a-trump-ally-in-congress-warns-his-state-california-to-make-nice.html,80316,100,text/html; charset=utf-8
https://www.nytimes.com/video/t-magazine/fashion/100000004941724/new-york-fashion-week-in-60-seconds-fall-winter-2017.html,178945,71,text/html; charset=utf-8
https://www.nytimes.com/2017/02/09/insider/1941-on-a-day-of-infamy-the-times-is-on-the-air.html,77094,110,text/html; charset=utf-8
https://www.nytimes.com/watching,823307,203,text/html; charset=utf-8
https://www.nytimes.com/video/world/asia/100000004939443/pakistani-tears-for-terrorisms-victims.html?playlistId=1194811622211,198174,78,text/html; charset=utf-8
https://www.nytimes.com/interactive/2017/01/19/travel/what-to-do-36-hours-in-galveston-texas.html,121260,61,text/html; charset=utf-8
https://www.nytimes.com/column/keeping-score,107365,120,text/html; charset=utf-8
https://www.nytimes.com/watching/titles/tv-shows/256962,115269,30,text/html; charset=utf-8
https://www.nytimes.com/2017/02/14/insider/the-youngest-crossword-constructor-in-new-york-times-history.html,74783,98,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/dining/wine-review-pinot-noir-sonoma-coast.html,88235,115,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/world/europe/trump-europe.html,90204,114,text/html; charset=utf-8
https://www.nytimes.com/2017/02/15/magazine/the-compost-king-of-new-york.html,96793,100,text/html; charset=utf-8
https://www.nytimes.com/2017/02/06/insider/harry-belafonte-inside-dish.html,72044,98,text/html; charset=utf-8
